date,home,away,actual,predicted,confidence,h_prob,d_prob,a_prob,n_warn,elo_diff,correct,liga
2023-08-12,Bournemouth,West Ham,draw,home_win,0.4335,0.4335,0.3043,0.2621,2,128.0,False,EPL
2023-08-12,Brighton,Luton,home_win,home_win,0.4159,0.4159,0.3098,0.2744,1,198.9,True,EPL
2023-08-12,Everton,Fulham,away_win,away_win,0.3887,0.2841,0.3272,0.3887,2,-16.2,True,EPL
2023-08-12,Sheffield United,Crystal Palace,away_win,draw,0.3988,0.2659,0.3988,0.3352,1,-192.3,False,EPL
2023-08-12,Newcastle,Aston Villa,home_win,home_win,0.4123,0.4123,0.3049,0.2828,1,14.8,True,EPL
2023-08-13,Brentford,Tottenham,draw,draw,0.3911,0.3211,0.3911,0.2877,1,9.5,True,EPL
2023-08-13,Chelsea,Liverpool,draw,away_win,0.4352,0.3183,0.2465,0.4352,2,-139.6,False,EPL
2023-08-19,Fulham,Brentford,away_win,home_win,0.4083,0.4083,0.2857,0.306,1,96.9,False,EPL
2023-08-19,Liverpool,Bournemouth,home_win,home_win,0.5027,0.5027,0.2615,0.2358,2,212.5,True,EPL
2023-08-19,Wolves,Brighton,away_win,draw,0.3908,0.2881,0.3908,0.3211,1,-37.8,False,EPL
2023-08-20,Aston Villa,Everton,home_win,home_win,0.5257,0.5257,0.2667,0.2076,2,163.7,True,EPL
2023-08-20,West Ham,Chelsea,home_win,draw,0.3982,0.3221,0.3982,0.2796,1,-0.9,False,EPL
2023-08-21,Crystal Palace,Arsenal,away_win,away_win,0.3751,0.3223,0.3026,0.3751,2,-129.3,True,EPL
2023-08-25,Chelsea,Luton,home_win,home_win,0.4301,0.4301,0.2936,0.2763,1,203.1,True,EPL
2023-08-26,Brighton,West Ham,away_win,home_win,0.4088,0.4088,0.3029,0.2884,2,96.7,False,EPL
2023-08-26,Everton,Wolves,away_win,draw,0.3753,0.3272,0.3753,0.2975,1,76.8,False,EPL
2023-08-26,Bournemouth,Tottenham,away_win,home_win,0.4057,0.4057,0.29,0.3043,1,82.5,False,EPL
2023-08-26,Arsenal,Fulham,draw,home_win,0.4505,0.4505,0.2443,0.3052,2,209.4,False,EPL
2023-08-26,Brentford,Crystal Palace,draw,home_win,0.4351,0.4351,0.3033,0.2616,2,23.1,False,EPL
2023-08-27,Burnley,Aston Villa,away_win,away_win,0.4028,0.2929,0.3043,0.4028,1,-196.8,True,EPL
2023-08-27,Newcastle,Liverpool,away_win,away_win,0.4123,0.3314,0.2563,0.4123,1,-126.3,True,EPL
2023-09-01,Luton,West Ham,away_win,draw,0.3944,0.32,0.3944,0.2857,1,-52.2,False,EPL
2023-09-02,Brighton,Newcastle,home_win,draw,0.3618,0.3368,0.3618,0.3014,1,32.5,False,EPL
2023-09-02,Burnley,Tottenham,away_win,away_win,0.4065,0.2725,0.321,0.4065,1,-142.9,True,EPL
2023-09-02,Sheffield United,Everton,draw,draw,0.3875,0.3097,0.3875,0.3028,1,-146.1,True,EPL
2023-09-02,Brentford,Bournemouth,draw,draw,0.3734,0.3287,0.3734,0.2979,1,-23.0,True,EPL
2023-09-03,Crystal Palace,Wolves,home_win,home_win,0.4085,0.4085,0.3166,0.2749,2,123.0,True,EPL
2023-09-03,Liverpool,Aston Villa,home_win,home_win,0.5329,0.5329,0.2481,0.2189,1,191.1,True,EPL
2023-09-16,Tottenham,Sheffield United,home_win,home_win,0.4716,0.4716,0.3509,0.1775,1,305.9,True,EPL
2023-09-16,Newcastle,Brentford,home_win,home_win,0.4419,0.4419,0.2742,0.2839,1,109.2,True,EPL
2023-09-16,Aston Villa,Crystal Palace,home_win,home_win,0.4666,0.4666,0.2769,0.2566,2,117.5,True,EPL
2023-09-16,Wolves,Liverpool,away_win,away_win,0.4812,0.2299,0.2889,0.4812,2,-231.6,True,EPL
